0,1.949
1,2.634
2,2.55
3,2.686
4,2.292
5,2.776
6,2.487
7,2.005
8,2.085
9,2.624
10,2.199
11,2.512
12,2.437
13,2.554
14,2.683
15,2.1
16,2.522
17,2.359
18,2.739
19,2.528
20,2.496
21,2.749
22,2.756
23,2.424
24,2.696
25,2.628
26,3.32
27,4.555
28,2.235
29,2.271
30,2.205
31,2.528
32,2.048
33,1.985
34,2.481
35,3.074
36,2.149
37,2.452
38,2.005
39,2.232
40,2.196
41,2.522
42,2.262
43,2.525
44,2.89
45,2.557
46,2.683
47,2.039
48,2.519
49,2.271
50,2.5
51,2.595
52,2.208
53,2.062
54,2.323
55,2.484
56,2.726
57,2.005
58,2.573
59,2.326
60,3.783
61,2.28
62,2.065
63,2.66
64,2.566
65,2.563
66,2.344
67,2.449
68,2.421
69,2.519
70,2.459
71,1.985
72,2.503
73,2.557
74,1.997
75,2.372
76,2.406
77,2.256
78,2.074
79,2.487
80,4.494
81,2.347
82,2.471
83,2.164
84,2.158
85,2.129
86,2.051
87,2.271
88,2.792
89,2.437
90,2.503
91,4.016
92,2.28
93,2.071
94,2.496
95,2.49
96,2.515
97,2.079
98,2.301
99,1.918
100,3.471
101,2.515
102,2.863
103,2.193
104,2.455
105,2.271
106,2.628
107,2.19
108,2.644
109,2.111
110,3.345
111,2.338
112,2.599
113,2.229
114,2.332
115,2.484
116,2.437
117,2.599
118,2.298
119,2.323
120,2.91
121,2.465
122,2.477
123,2.496
124,2.563
125,1.985
126,2.503
127,2.356
128,2.816
129,2.67
130,2.624
131,2.396
132,2.782
133,2.393
134,1.988
135,2.008
136,2.897
137,2.592
138,2.274
139,2.538
140,2.586
141,2.283
142,2.449
143,3.449
144,2.512
145,2.344
146,2.298
147,2.094
148,2.117
149,2.307
150,2.493
151,2.114
152,2.217
153,1.913
154,2.415
155,2.657
156,2.696
157,2.958
158,2.39
159,2.229
160,2.534
161,2.421
162,2.624
163,2.56
164,2.277
165,2.427
166,2.217
167,2.205
168,10.33
169,3.298
170,5.054
171,1.491
172,1.651
173,1.364
174,1.508
175,1.608
176,1.74
177,1.742
178,1.734
179,1.669
180,1.706
181,1.525
182,1.535
183,1.498
184,1.674
185,1.523
186,1.633
187,1.646
188,1.353
189,1.392
190,1.318
191,5.622
192,3.426
193,1.452
194,1.543
195,1.646
196,1.575
197,2.752
198,3.587
199,8.857
200,3.783
201,1.36
202,1.548
203,1.654
204,1.501
205,1.548
206,1.608
207,4.831
208,3.098
209,3.673
210,1.603
211,1.419
212,1.493
213,1.615
214,2.39
215,6.842
216,3.408
217,3.733
218,4.117
219,3.367
220,2.437
221,5.045
222,4.301
223,2.893
224,5.485
225,3.193
226,2.44
227,4.486
228,3.084
229,1.999
230,3.423
231,4.406
232,4.631
233,4.545
234,6.013
235,3.062
236,3.269
237,4.06
238,2.938
239,3.538
240,6.948
241,3.129
242,4.541
243,3.244
244,3.098
245,4.264
246,3.834
247,3.017
248,6.24
249,4.601
250,4.239
251,4.048
252,4.072
253,3.846
254,4.26
255,2.599
256,3.147
257,4.942
258,4.402
259,3.448
260,1.56
261,1.623
